H,T,seed,curvature_fd,dk,price_fit_rmse,price_fit_cond,iv_fit_rmse,iv_fit_cond,fd_selected_bump_frac,fd_status,price_m2,price_se_m2,price_m1,price_se_m1,price_0,price_se_0,price_p1,price_se_p1,price_p2,price_se_p2,price_atm_fit,price_quadratic_coef_scaled,iv_atm_fit,iv_quadratic_coef_scaled,iv_m2,iv_m1,iv_0,iv_p1,iv_p2
0.05,0.0125,6,46.09569389826493,0.003872983346207417,2.7691478957948368e-05,7.980424036748029,0.00017804721782968533,7.980424036748029,0.2,stable,0.012076585467043648,0.00021069076818726576,0.009635126039770703,0.00019148176943517315,0.007481412916242344,0.00017132948152750915,0.005675872632885644,0.0001503617080922752,0.004204987654642958,0.00012932596765446297,0.007481412916264527,11.605761336104724,0.16773301472748406,23.047846949132467,0.17146996551702579,0.16906657822052754,0.16773301472763474,0.1670908866426147,0.1672639933271554
0.05,0.00625,0,-23.636908489887624,0.0027386127875258306,2.595595296850769e-06,7.980424036748029,0.00010664541569375483,7.980424036748029,0.2,stable,0.00846103397271211,0.00014646672328982543,0.006744886255238029,0.0001326210040726279,0.005244297531527945,0.00011790016669214153,0.003965033102470127,0.00010278769945309638,0.0029064244767917835,8.776817783037872e-05,0.005244297531529874,14.754952976304278,0.16627894050775582,-11.818454244943812,0.167493358381315,0.16685845706370062,0.16627894050784134,0.16552214713796676,0.16464037241240775
0.05,0.00625,1,-13.972631564891971,0.0027386127875258306,1.6950298448481427e-06,7.980424036748029,9.550229089332567e-05,7.980424036748029,0.2,stable,0.008615646565751619,0.0001500802268432239,0.006905169647087899,0.00013622854702272013,0.0054124897898576805,0.00012142624725839984,0.004136365863666439,0.00010619165456449618,0.0030732166360091257,9.099523517851893e-05,0.005412489789858381,14.437062069078578,0.17161174825719364,-6.986315782445986,0.17257861346884149,0.17204783537127763,0.17161174825727635,0.17107086640620842,0.1705014058624592
0.05,0.00625,2,43.237770000497136,0.0027386127875258306,1.0730709824703231e-05,7.980424036748029,0.00014468173541949656,7.980424036748029,0.2,stable,0.008498777341984818,0.00014800401587466915,0.006772281476692981,0.00013440240287030086,0.005262348018605237,0.00011997357043907369,0.003988447999232466,0.00010502098132772819,0.0029365593073453215,9.018593111741969e-05,0.005262348018615284,15.73556257832539,0.16685126041332243,21.618885000248568,0.1692687391734973,0.16774588773563243,0.16685126041344686,0.1662809163657685,0.1661456887493258
0.05,0.00625,3,-38.766178687721094,0.0027386127875258306,4.848229122706945e-06,7.980424036748029,8.864606652530174e-05,7.980424036748029,0.2,stable,0.008437085132667409,0.00014839105148981152,0.006737677986486023,0.00013453475301366912,0.0052462064239806,0.00011994262736945856,0.00397247318144115,0.00010504664743798542,0.0029211078365585993,9.02892795353423e-05,0.005246206423982153,14.515887997318586,0.1663394650322793,-19.383089343860547,0.16680540564685717,0.1666249213946923,0.1663394650323558,0.16576326232955624,0.16496544042417682
0.05,0.00625,4,-10.802197684903804,0.0027386127875258306,4.038809254460164e-06,7.980424036748029,0.00010372488831112462,7.980424036748029,0.2,stable,0.008638332057973668,0.0001510334045533887,0.006930369500762209,0.0001371980140924677,0.0054312658041447736,0.00012253791140810844,0.004148699554767989,0.00010748021663730054,0.0030874246150833663,9.242505357497567e-05,0.005431265804145649,14.435829815810195,0.17220707217691275,-5.401098842451902,0.17366425402789323,0.17286312056543923,0.1722070721769961,0.17147000730558362,0.17070362071445974
0.05,0.00625,5,-93.96056716092507,0.0027386127875258306,7.445105446479439e-06,7.980424036748029,4.3062715108179895e-05,7.980424036748029,0.2,stable,0.008468226438155476,0.00014889956622010284,0.006787173853196195,0.0001347628337911153,0.005314393823231909,0.0001198057866844729,0.004043675291410434,0.00010460587511412622,0.002990463993400236,8.945546208386392e-05,0.005314393823225411,13.470766544582307,0.16850145687850396,-46.98028358046253,0.16732811595682617,0.16822822167911605,0.16850145687854437,0.16806998782410465,0.16699050576341176
0.05,0.00625,6,92.41408994566466,0.0027386127875258306,1.9657823655690013e-05,7.980424036748029,0.00017637990588182555,7.980424036748029,0.2,stable,0.008548440023863072,0.0001493412086816525,0.006823575162151153,0.00013575464867275513,0.005301590957826308,0.00012150758654255795,0.004025373805940144,0.000106685248926338,0.002985284863922934,9.181416890254933e-05,0.005301590957842065,16.384470158386915,0.16809552131150324,46.20704497283233,0.1717851533259518,0.169406940662124,0.16809552131165323,0.16747720763517662,0.1676781222130066
0.1,0.1,0,-1.340557626882486,0.010954451150103323,1.559304776445369e-05,7.980424036748029,0.00012487357751769993,7.980424036748029,0.2,stable,0.03403223180971537,0.0005833097769323483,0.027138226418431954,0.0005277499802985069,0.021091858286042958,0.0004687205059548017,0.015927931357088646,0.0004080556001989125,0.011648543521617007,0.0003476765454661322,0.021091858286052763,3.6768383474814215,0.16718787540461622,-0.670278813441243,0.1692173867724306,0.1681434585539292,0.16718787540470087,0.166071425339909,0.1647968867966438
0.1,0.1,1,-1.233417783932874,0.010954451150103323,3.3695248705369934e-06,7.980424036748029,0.00010494041528899294,7.980424036748029,0.2,stable,0.034634877767548575,0.0005975631860880075,0.027763006384960973,0.0005420106312464865,0.021755040294002534,0.00048260222073939833,0.016603747245329918,0.00042146643350322107,0.012307014643652137,0.00036039390933548856,0.021755040294000997,3.569471009549792,0.17244469011538793,-0.616708891966437,0.174038443421379,0.17319896512972166,0.1724446901154657,0.17154240496682752,0.17051807039790337
