H,T,logT,curv_mall,se_mall,abs_curv_mall,log_abs_curv_mall,curv_fd,se_fd,abs_curv_fd,log_abs_curv_fd,curv_theory,abs_curv_theory,log_abs_curv_theory,time_mall_s,time_fd_s,fd_selected_bump_frac,fd_status,fd_blowup_flag,fd_blowup_ratio_smallest_to_largest,fd_rel_se_selected,fd_neighbor_log_gap_selected,n_steps,n_paths_mall,n_paths_fd,n_seeds_fd
0.25,0.05,-2.995732273553991,0.000254552035583853,5.82267633518893e-07,0.000254552035583853,-8.276005280854138,-8.039734405777939,3.6956396990019162,8.039734405777939,2.0843960485380153,0.00024262615427444992,0.00024262615427444992,-8.323988759044067,24.875186374993064,0.6997194580035284,0.2,stable,False,3.1408283512134894,0.4596718638299743,0.8389558617383033,256,8000,4000,7
0.25,0.025,-3.6888794541139363,9.015551268338046e-05,1.7279655755910492e-07,9.015551268338046e-05,-9.313974460063847,-16.468857390870415,7.484403120969453,16.468857390870415,2.801471166608142,8.578129949033849e-05,8.578129949033849e-05,-9.363709529883986,24.131835749954917,0.6401425839867443,0.2,stable,False,3.79448624576684,0.4544579471019322,0.8884693993143329,256,8000,4000,7
0.25,0.0125,-4.382026634673881,3.191431738772496e-05,5.130752603200318e-08,3.191431738772496e-05,-10.352455827931646,-55.36773655401221,19.809507872953297,55.36773655401221,4.013997051437147,3.032826928430624e-05,3.032826928430624e-05,-10.403430300723903,23.78805612504948,0.6172659168951213,0.1,stable,False,4.219698522411749,0.3577807059826036,0.5495414530484917,256,8000,4000,7
0.25,0.00625,-5.075173815233827,1.1293312895741755e-05,1.524019013502316e-08,1.1293312895741755e-05,-11.391299786554262,-105.75534205874825,38.25528215815431,105.75534205874825,4.661128332572471,1.0722662436292311e-05,1.0722662436292311e-05,-11.443151071563822,23.460393041954376,0.7005333330016583,0.1,stable,False,4.1542798236524625,0.36173380382905934,0.5687387814035887,256,8000,4000,7
0.3,0.1,-2.3025850929940455,0.0005324555151907738,1.375848908262227e-06,0.0005324555151907738,-7.538011203418159,-3.82704114237403,1.7572485460780174,3.82704114237403,1.34209195694079,0.0005081335603332684,0.0005081335603332684,-7.584766230899765,26.69343999994453,0.7568252920173109,0.2,stable,False,2.743159707729164,0.4591663587363325,0.7778013272396535,256,8000,4000,7
0.3,0.05,-2.995732273553991,0.00017566199889496032,3.666810396703562e-07,0.00017566199889496032,-8.6469488701995,-8.17899229134988,3.6978247099015547,8.17899229134988,2.1015689512594085,0.00016762156314723583,0.00016762156314723583,-8.693801719795678,28.417795000015758,0.6718549160286784,0.2,stable,False,3.571732830189367,0.4521125070398198,0.8702089065643936,256,8000,4000,7
0.3,0.025,-3.6888794541139363,5.7950686333622855e-05,9.790511623271501e-08,5.7950686333622855e-05,-9.755918144700367,-27.894476866441003,10.134023039214037,27.894476866441003,3.328428707453993,5.529449464722398e-05,5.529449464722398e-05,-9.80283720869159,24.00563237501774,0.6538566669914871,0.1,stable,False,4.219320722477348,0.3632985514564703,0.5479247601578496,256,8000,4000,7
0.3,0.0125,-4.382026634673881,1.9117446418287902e-05,2.6172487823338022e-08,1.9117446418287902e-05,-10.864909214789227,-53.10424424371406,18.964079032180877,53.10424424371406,3.972256854313872,1.8240380777300375e-05,1.8240380777300375e-05,-10.911872697587503,24.345911458018236,0.6900356659898534,0.1,stable,False,4.167861619062006,0.3571104212527354,0.5713100903259143,256,8000,4000,7
0.3,0.00625,-5.075173815233827,6.306592282053854e-06,7.0020870742953915e-09,6.306592282053854e-06,-11.973915077678548,-84.35636058077306,39.190794841403964,84.35636058077306,4.435050213152842,6.017081682789418e-06,6.017081682789418e-06,-12.020908186483416,24.115263834013604,0.6215576669201255,0.1,stable,False,3.4267825263259484,0.464586126897662,0.4497482301956319,256,8000,4000,7
0.35,0.1,-2.3025850929940455,0.0003872861870339294,9.331840899213855e-07,0.0003872861870339294,-7.856346636851248,-3.8825885666795643,1.7677094649854832,3.8825885666795643,1.3565020875460234,0.000370101972166349,0.000370101972166349,-7.90173198984724,23.298732541967183,0.622865958022885,0.2,stable,False,3.100063323646535,0.45529147233265804,0.8069935552446443,256,8000,4000,7
0.35,0.05,-2.995732273553991,0.00011901389532393387,2.2374573915186377e-07,0.00011901389532393387,-9.036270304241514,-13.414062999220974,5.575049249442108,13.414062999220974,2.596303634194098,0.00011391224385013409,0.00011391224385013409,-9.080082196799147,24.448152416967787,0.6147546250140294,0.1,stable,False,4.008259425680478,0.4156122756964747,0.505842509676973,256,8000,4000,7
0.35,0.025,-3.6888794541139363,3.659542988254673e-05,5.379508001945407e-08,3.659542988254673e-05,-10.21558719195052,-27.281769358168948,9.215075624107952,27.281769358168948,3.3062186900424124,3.5060605656919094e-05,3.5060605656919094e-05,-10.258432403751053,23.344876083079726,0.60413949994836,0.1,stable,False,4.250613683425877,0.3377741195275039,0.5822165616865531,256,8000,4000,7
0.35,0.0125,-4.382026634673881,1.125687236612442e-05,1.2955795568329648e-08,1.125687236612442e-05,-11.394531738834402,-43.10970170522958,19.546191479587364,43.10970170522958,3.7637480693481775,1.0791167195751278e-05,1.0791167195751278e-05,-11.436782610702961,23.89096112502739,0.7636863749939948,0.1,stable,False,3.4958189786638627,0.45340586240280667,0.46562059927336774,256,8000,4000,7
0.35,0.00625,-5.075173815233827,3.463442467407589e-06,3.1234559035606807e-09,3.463442467407589e-06,-12.573247530735449,-47.79549800441771,23.429699013375245,47.79549800441771,3.86693145105382,3.3213713016300287e-06,3.3213713016300287e-06,-12.615132817654867,29.23735645902343,0.6502987090498209,0.2,stable,False,2.649910122372621,0.490207236907745,0.6957141194679415,256,8000,4000,7
0.4,0.1,-2.3025850929940455,0.00027854213827013775,6.199431446318419e-07,0.00027854213827013775,-8.185941205661184,-3.902006548668955,1.7589515932808304,3.902006548668955,1.3614909204847379,0.0002669370044755235,0.0002669370044755235,-8.228497865695761,24.194119542022236,0.6332242080243304,0.2,stable,False,3.446696964487826,0.4507813022202233,0.8330720840472424,256,8000,4000,7
0.4,0.05,-2.995732273553991,7.978044219759209e-05,1.3383677518796107e-07,7.978044219759209e-05,-9.436232168790013,-13.725333431860806,4.787661145418037,13.725333431860806,2.619243280860856,7.66575244822175e-05,7.66575244822175e-05,-9.476162790703663,23.817142583080567,0.6045597499469295,0.1,stable,False,4.217610101729142,0.34881929602557943,0.5688159994090074,256,8000,4000,7
0.4,0.025,-3.6888794541139363,2.2876433933198485e-05,2.8993526208332633e-08,2.2876433933198485e-05,-10.685403263163044,-23.342612012468592,9.771007173547689,23.342612012468592,3.150280532013615,2.2014093067717042e-05,2.2014093067717042e-05,-10.723827715711565,24.48929199995473,0.6194267909741029,0.1,stable,False,3.753169020808709,0.4185909943723714,0.5110862981211453,256,8000,4000,7
0.4,0.0125,-4.382026634673881,6.563854421302209e-06,6.2933809586042e-09,6.563854421302209e-06,-11.93393256333365,-24.272347310562512,11.784625138589988,24.272347310562512,3.1893377316073996,6.3218881234095495e-06,6.3218881234095495e-06,-11.971492640719466,23.838711209013127,0.6049805410439149,0.2,stable,False,2.765288409861979,0.48551650105392624,0.7080139614925813,256,8000,4000,7
0.4,0.00625,-5.075173815233827,1.8840370564572528e-06,1.3675958151604288e-09,1.8840370564572528e-06,-13.182093712971023,-42.8692312651165,21.715896170938638,42.8692312651165,3.7581543486813582,1.8154856219589606e-06,1.8154856219589606e-06,-13.219157565727368,23.786797792068683,0.6069340000394732,0.2,stable,False,2.134151557997228,0.5065613618457692,0.6177146774517359,256,8000,4000,7
